first_name,last_name,street,city,state,zipcode,day,month,year
Sisely,Elleyne,6608 Blackbird Place,Reading,Pennsylvania,19610,11,2,1950
Carlotta,Guinan,6294 Fieldstone Place,Fort Myers,Florida,33913,18,3,1950
Dulcie,Reily,04622 Becker Pass,San Diego,California,92191,19,1,2009
Corrine,Hillan,33910 Fair Oaks Parkway,Charlotte,North Carolina,28272,28,9,1917
Mickie,Brumpton,7272 Charing Cross Drive,Asheville,North Carolina,28815,2,3,1964
Viola,Kendred,3 Michigan Lane,Evansville,Indiana,47737,5,4,1975
Nicolea,MacKain,1 Waywood Park,Norfolk,Virginia,23514,26,6,2004
Portie,Pennycuick,6 Michigan Drive,Hialeah,Florida,33013,3,2,2016
Collette,Thorrington,4 Melby Junction,San Antonio,Texas,78250,20,5,1970
Ugo,Beadnall,81 Bartillon Street,Washington,District of Columbia,56944,18,1,1959
Priscilla,Docksey,846 West Circle,San Francisco,California,94169,3,6,1905
Dilan,Upex,582 Dayton Junction,Atlanta,Georgia,30336,11,12,1956
Granger,Pohlak,42481 Forest Run Lane,Carson City,Nevada,89714,2,10,1956
Margaretha,Raselles,80 Green Ridge Terrace,New Orleans,Louisiana,70116,8,4,2011
Ninnetta,Brissenden,6627 Scott Circle,Dallas,Texas,75310,13,11,1930
Temp,Amery,31 Bunker Hill Junction,Fresno,California,93721,5,11,1953
Lenard,Mulderrig,7496 Cordelia Pass,Savannah,Georgia,31422,18,12,1968
Malissia,Sallis,889 Jackson Court,Saint Louis,Missouri,63167,16,2,1939
Wilt,Sigward,728 Bunting Road,Austin,Texas,78789,17,11,1968
Erastus,Scarasbrick,59734 Straubel Crossing,Minneapolis,Minnesota,55436,21,8,1942
Klarrisa,Dooher,1355 Leroy Drive,Birmingham,Alabama,35225,5,2,2001
Roscoe,Zorro,4 Walton Place,Knoxville,Tennessee,37924,15,7,1955
Aldin,Storrs,0321 Corben Center,Tucson,Arizona,85743,16,3,1937
Letitia,Blayd,9020 Sage Terrace,Washington,District of Columbia,20073,2,6,1913
Anallese,Salasar,5456 Linden Plaza,New York City,New York,10039,21,1,1927
Viva,Rummins,5 Granby Place,Albuquerque,New Mexico,87110,12,10,1990
Kore,Sloane,13 Mendota Avenue,Bronx,New York,10469,6,1,1980
Martainn,Prahm,7 Katie Alley,Austin,Texas,78744,8,9,1991
Lyndsie,Hirsch,092 Sherman Crossing,Phoenix,Arizona,85025,16,10,1993
Berte,Rasper,3 Stone Corner Park,Huntington,West Virginia,25775,12,5,1904
Deonne,Willoughley,724 Thompson Way,Chattanooga,Tennessee,37450,13,10,1936
Elyssa,Nelm,9602 Utah Terrace,Carson City,Nevada,89706,27,4,2011
Lara,Densumbe,907 Corben Center,Atlanta,Georgia,30328,17,11,1920
Ramon,Delacroix,364 Rowland Trail,Akron,Ohio,44305,4,1,1996
Kathrine,Breese,27 Graceland Crossing,Honolulu,Hawaii,96835,9,7,1919
Maurene,Lammas,9116 Ridgeway Point,Boynton Beach,Florida,33436,23,8,1949
Al,Laborde,2866 Karstens Way,El Paso,Texas,88584,11,11,1988
Marc,Shorie,9297 Kinsman Court,Phoenix,Arizona,85005,12,9,1938
Alberta,Ronchetti,49825 Fisk Street,Savannah,Georgia,31410,13,5,1999
Tyne,Filinkov,168 Cordelia Place,Houston,Texas,77025,22,7,1947
Colan,Clohisey,07 Jackson Alley,Minneapolis,Minnesota,55448,19,12,1995
Berne,Byforth,18627 Fuller Crossing,Des Moines,Iowa,50320,21,10,1989
Waylin,Haverty,2 Summit Avenue,Santa Rosa,California,95405,14,6,1971
Hyacinth,Gartsyde,71 Milwaukee Circle,San Antonio,Texas,78215,11,3,1963
Eva,Coldicott,808 Walton Street,Glendale,Arizona,85311,1,8,1935
Diego,Roumier,92 Dawn Street,Pasadena,California,91109,4,7,1900
Lowe,Hymer,0825 Bunker Hill Center,Tacoma,Washington,98405,19,8,1996
Vail,Perin,4 Susan Hill,Billings,Montana,59105,13,9,1905
Judah,Jenno,82788 Declaration Pass,Washington,District of Columbia,20016,17,3,1992
Kayla,Buffy,8720 8th Alley,Akron,Ohio,44329,18,11,1985
Leroy,Brombell,1240 Forest Run Drive,Huntsville,Alabama,35895,17,3,2017
Evanne,Maudsley,53 Dexter Center,Boise,Idaho,83716,19,8,1957
Trenna,Hollidge,400 Killdeer Park,Las Vegas,Nevada,89115,25,4,1921
Kissiah,Wilmut,9341 Dorton Crossing,Denver,Colorado,80217,13,2,2015
Ingrid,Maiden,1 Upham Trail,Tulsa,Oklahoma,74103,15,10,2009
Fabio,Loweth,546 Stephen Hill,Jacksonville,Florida,32209,28,2,2017
Duff,Kiddle,7813 Stuart Point,Tucson,Arizona,85720,21,11,1975
Bevin,Upham,07224 Goodland Circle,Pueblo,Colorado,81005,27,1,1910
Isaac,Bohlsen,45 Texas Road,Fayetteville,North Carolina,28305,3,5,1976
Madelon,Hearle,42 Continental Street,Washington,District of Columbia,20409,17,4,1930
Frederich,Tales,927 Welch Center,San Antonio,Texas,78291,13,1,1900
Maxie,Temblett,44351 Claremont Pass,Newark,New Jersey,07104,9,7,1974
Tiffanie,Calender,5 Service Park,San Antonio,Texas,78230,17,10,1972
Derrick,Brizland,7 Hauk Place,Florence,South Carolina,29505,8,1,1979
Pennie,Charpin,31 Gateway Way,Miami,Florida,33153,24,9,1969
Casey,Le Guin,53 Susan Way,Fort Smith,Arkansas,72905,2,5,1926
Farah,Messier,673 Petterle Place,Kansas City,Missouri,64187,14,4,1936
Tremaine,Geeraert,08 Ludington Drive,Colorado Springs,Colorado,80940,23,3,1945
Jaynell,Ginger,8 Dovetail Plaza,Dallas,Texas,75287,6,12,1945
Jenda,Tolan,2820 Kenwood Road,El Paso,Texas,88525,5,8,2004
Leelah,Camies,062 Badeau Street,White Plains,New York,10606,27,5,1952
Jeddy,Laughlan,721 Kedzie Plaza,Fort Lauderdale,Florida,33320,20,7,1968
Sansone,Carle,2 Summit Court,Dallas,Texas,75358,1,6,1947
Garvy,Spollen,5 Sommers Junction,Colorado Springs,Colorado,80951,26,9,1937
Husain,D'Antuoni,1044 Forster Junction,Memphis,Tennessee,38168,16,8,1931
Blondelle,Aspy,4 Oak Valley Junction,Alexandria,Louisiana,71307,19,3,1921
Chrotoem,Sentinella,2534 Jay Terrace,Madison,Wisconsin,53779,8,9,1998
Arnaldo,Scouller,11519 Roth Terrace,Hattiesburg,Mississippi,39404,18,9,1948
Katuscha,Romagnosi,83795 Crownhardt Trail,Tucson,Arizona,85754,6,1,1971
Krystal,Tarbett,749 Sauthoff Trail,Erie,Pennsylvania,16565,1,4,1913
Cleon,Thornally,85183 Warrior Point,Seattle,Washington,98185,10,6,1978
Locke,Bushen,006 Corry Street,Chicago,Illinois,60624,10,12,1994
Leonelle,Lawlie,42686 Pleasure Road,Bakersfield,California,93305,17,9,1971
Rabbi,Marusyak,566 South Trail,Minneapolis,Minnesota,55446,23,9,1981
Kort,Giacobilio,03 Northfield Circle,Amarillo,Texas,79165,7,2,1999
Issi,Panas,8 Eastlawn Hill,Reston,Virginia,20195,17,12,1946
Rosabelle,Garrand,12 Golden Leaf Way,Fullerton,California,92835,26,1,2010
Gabriela,Edgeworth,70037 Scott Lane,Gadsden,Alabama,35905,6,12,1956
Fancy,Eliff,0693 Vahlen Circle,Indianapolis,Indiana,46239,8,1,1919
Estell,O'Tierney,1165 Johnson Parkway,New Orleans,Louisiana,70149,28,8,1903
Babita,O'Donnelly,45 Barnett Drive,Dallas,Texas,75287,21,11,1986
Geordie,Shingler,746 Lunder Circle,Houston,Texas,77030,23,11,1934
Gates,Kops,26 Brentwood Junction,Lincoln,Nebraska,68583,28,1,1971
Talyah,Jehu,4686 Old Gate Center,El Paso,Texas,79984,11,1,2010
Dukie,Ditty,80258 Bultman Avenue,Charlotte,North Carolina,28215,25,10,1993
Erhard,Marchington,40 Ridge Oak Lane,Wilkes Barre,Pennsylvania,18706,26,4,1993
Zak,Lysaght,28547 Hooker Drive,Melbourne,Florida,32941,8,3,1949
Isak,Pearde,232 Twin Pines Park,Roanoke,Virginia,24009,19,4,1980
Annetta,Foynes,88 Lighthouse Bay Alley,Raleigh,North Carolina,27615,15,3,1911
Kendal,Camelia,130 Glacier Hill Street,Beaumont,Texas,77713,20,10,2013
Colan,McMylor,7533 Hermina Court,Staten Island,New York,10305,2,7,1974
Jonell,Siman,64 Stephen Point,Oklahoma City,Oklahoma,73129,18,11,1999
Cecilio,Luparti,2929 Kim Avenue,Milwaukee,Wisconsin,53205,20,5,1970
Faustine,Descroix,951 Utah Hill,Raleigh,North Carolina,27635,21,7,1970
Ronalda,Dumke,225 Mandrake Place,San Bernardino,California,92415,2,3,2015
Maiga,McGinly,2 Ludington Way,Portsmouth,New Hampshire,03804,27,6,1958
Inessa,Thecham,87276 Main Drive,Portland,Oregon,97296,3,8,1949
Bary,Zamorano,57860 Delaware Crossing,Madison,Wisconsin,53726,14,6,1922
Emmott,Vella,1647 Montana Court,New Haven,Connecticut,06538,6,11,1979
Malia,Falconbridge,282 Mendota Alley,Des Moines,Iowa,50347,11,10,1921
Gilberto,Rampley,3 Manley Pass,Saint Cloud,Minnesota,56398,17,4,1985
Silvester,Demeza,91841 Mosinee Lane,Lafayette,Indiana,47905,10,8,2004
Shoshana,Bussel,7342 Chive Junction,Montgomery,Alabama,36195,13,12,1972
Anna-maria,Dulen,76 Pleasure Park,Phoenix,Arizona,85030,21,9,1965
Gertie,Szymanzyk,4510 Larry Crossing,Stockton,California,95210,24,6,2008
Oralie,Casserley,2913 Roxbury Road,Lake Worth,Florida,33467,27,3,1904
Sheppard,Philbrook,823 Springview Point,Davenport,Iowa,52809,26,7,1977
Ferne,Flay,368 Pond Circle,San Antonio,Texas,78255,3,5,1965
Jaclin,Ison,29 Melody Circle,Boca Raton,Florida,33487,15,7,1982
Wheeler,Arnison,0 Mendota Parkway,Fullerton,California,92835,11,2,1944
Dotti,McPaik,7 Anhalt Way,Maple Plain,Minnesota,55572,23,11,1928
Delly,Durtnel,43 Cordelia Street,Dallas,Texas,75221,24,9,1947
Waly,Tubbles,09870 Gateway Avenue,Lafayette,Louisiana,70593,13,10,1903
Kym,MacKnight,2 Prairie Rose Hill,Phoenix,Arizona,85067,25,9,1995
Bamby,Chrispin,90991 Tomscot Center,Hartford,Connecticut,06140,19,5,2011
Ericka,Harrold,7 Bayside Parkway,New York City,New York,10105,26,11,1997
Stacy,Fuster,9 Gale Place,Sacramento,California,95852,22,12,1941
Talya,Kinglesyd,30044 Sommers Circle,Gainesville,Florida,32627,24,2,1994
Krisha,Knibley,5 Reinke Avenue,Saint Louis,Missouri,63126,10,2,1937
Collen,Duchasteau,58054 Jana Alley,Amarillo,Texas,79118,14,4,1996
Hillard,Skeene,1342 Tony Crossing,Phoenix,Arizona,85010,21,1,1900
Urban,Ducker,34 Village Point,Washington,District of Columbia,20319,20,5,1997
Seka,Tobias,78 Paget Alley,Corpus Christi,Texas,78426,12,8,1983
Hyman,O'Scandall,109 Sunbrook Trail,Newark,Delaware,19725,21,5,1976
Isak,Lusted,15 Westerfield Parkway,New Brunswick,New Jersey,08922,11,10,1901
Kipper,Schuck,5625 Barby Place,El Paso,Texas,79989,27,5,1991
Lilith,Reuble,1 Summit Terrace,Grand Junction,Colorado,81505,3,4,1957
Bernice,Thickpenny,09 Spenser Drive,Hartford,Connecticut,06183,19,8,1956
Elfrida,Spancock,5 Prairie Rose Junction,Springfield,Illinois,62705,19,8,1944
Emmalyn,Spadotto,3066 Ohio Trail,Temple,Texas,76505,16,7,1955
Dane,Gaddas,4 Summit Parkway,Dallas,Texas,75353,7,1,1909
Roseline,Whodcoat,5258 Green Ridge Point,Sacramento,California,95813,15,8,1979
Cecilius,Boig,7940 Lawn Alley,Greensboro,North Carolina,27415,10,10,2008
Evyn,McGeffen,41195 Comanche Way,Fort Lauderdale,Florida,33310,17,12,1900
Maurise,Sikorski,62844 Fairfield Circle,Irvine,California,92619,23,11,1906
Kennedy,Grinvalds,871 Jana Junction,Hagerstown,Maryland,21747,9,11,1963
Patric,Alvarado,981 Almo Pass,San Antonio,Texas,78285,21,2,1968
Hynda,Gostick,7 Tomscot Avenue,North Little Rock,Arkansas,72199,16,6,1980
Kelila,Dawney,7301 Golf Park,Fort Smith,Arkansas,72916,7,10,1948
Kala,Scholler,1 International Point,Portland,Oregon,97255,11,10,1935
Emmalynne,Tremolieres,32 Rockefeller Drive,Des Moines,Iowa,50936,10,8,1974
Halsey,Littefair,93733 Truax Plaza,Arlington,Virginia,22234,10,11,2000
May,Grange,873 Katie Court,Spring Hill,Florida,34611,5,10,1918
Rich,Benard,5 Holy Cross Alley,Salt Lake City,Utah,84120,2,3,2002
Cy,Hoyles,35 Sullivan Drive,El Paso,Texas,88546,2,7,1972
Ferdinande,Dumingos,2 Dorton Lane,Akron,Ohio,44305,7,7,1900
Margaretta,Pinshon,21 Eastlawn Junction,Burbank,California,91520,14,12,1911
Mallory,Fortie,9276 Anhalt Crossing,Chicago,Illinois,60609,22,12,2011
Lonny,Di Dello,0 Express Pass,Denver,Colorado,80228,15,9,1982
Marco,Spillman,9943 Shelley Parkway,Las Vegas,Nevada,89135,15,5,1901
Sutherlan,Tunniclisse,2 Sunfield Court,Peoria,Illinois,61640,5,1,1930
Sebastiano,Rutigliano,4 Miller Way,Spartanburg,South Carolina,29305,19,10,1956
Jessi,Othen,9 Washington Alley,Springfield,Illinois,62705,2,1,1900
Waylan,Ashburne,0 Kropf Plaza,Charlotte,North Carolina,28235,13,1,1989
Cornall,Cristofalo,31837 La Follette Lane,Washington,District of Columbia,20337,20,8,1938
Esther,Stroud,63 Sutherland Circle,Jefferson City,Missouri,65110,7,4,1958
Skip,Klyner,203 Bashford Alley,Oklahoma City,Oklahoma,73104,6,6,1997
Selina,Leguey,63 5th Way,Grand Rapids,Michigan,49505,7,7,1992
Booth,Queyos,2 Carpenter Pass,New York City,New York,10160,25,3,1922
Annaliese,Kahan,4059 Del Mar Circle,Canton,Ohio,44720,23,5,1985
Oneida,Jaqueme,635 Clove Street,Kansas City,Missouri,64187,25,3,2018
Kalinda,Dimitresco,08 Sage Center,Saint Louis,Missouri,63196,10,7,1903
Etta,Paffitt,9 Springs Alley,Newton,Massachusetts,02458,27,4,2003
Gus,Kidney,691 Londonderry Crossing,Fort Lauderdale,Florida,33336,27,6,1911
Sig,Demanche,2154 Melby Pass,Washington,District of Columbia,20503,5,1,1923
Hope,Dundendale,35 Stephen Terrace,Salt Lake City,Utah,84125,25,4,1914
Tamma,Pountney,4500 Lakewood Gardens Drive,Boulder,Colorado,80310,12,8,1939
Karry,Slowan,0 Rutledge Park,Fayetteville,North Carolina,28314,10,1,2003
Kendricks,Bracchi,347 Hooker Drive,Detroit,Michigan,48295,14,9,1945
Jonathon,Robottom,91 Lawn Point,San Antonio,Texas,78291,26,7,1945
Dodi,Allpress,343 Drewry Way,San Jose,California,95113,17,11,1959
Carolin,Royste,2 Schmedeman Crossing,Phoenix,Arizona,85053,24,9,2008
Shirlene,Pickup,37 Russell Terrace,Lafayette,Louisiana,70505,12,1,1937
Christin,Vogel,79 Comanche Junction,Denton,Texas,76205,6,4,1978
Monique,Pimlock,23 Portage Crossing,Petaluma,California,94975,16,7,1953
Magdaia,Ales,92 Miller Plaza,Birmingham,Alabama,35236,23,11,1966
Glennis,Astlatt,72 Reinke Junction,Birmingham,Alabama,35244,1,10,1993
Cicely,Bernaert,03915 Spohn Trail,Columbia,South Carolina,29220,22,8,2014
Fannie,O'Nolan,67 Kedzie Circle,Brooklyn,New York,11241,21,2,1907
Pavla,Pourvoieur,4 Morning Point,Cincinnati,Ohio,45208,14,12,1975
Letty,Dart,73735 Ruskin Junction,Omaha,Nebraska,68117,6,2,1978
Emilie,Delleschi,6236 Calypso Terrace,Reno,Nevada,89595,7,12,1997
Nell,Mulchrone,7 Crescent Oaks Hill,Savannah,Georgia,31410,5,1,1935
Teodoro,Ricoald,28742 Tennyson Trail,Portsmouth,New Hampshire,03804,18,6,2017
Alley,Elverstone,277 Grim Avenue,Charlottesville,Virginia,22908,22,6,1976
Raffarty,Teasdale,19330 Golden Leaf Lane,Jackson,Mississippi,39282,15,9,1963
Danyette,Woodes,19127 Cherokee Terrace,Orlando,Florida,32891,2,2,1968
Ibby,Gotmann,4 Forest Dale Trail,San Antonio,Texas,78240,7,5,1946
Irvine,Iredell,736 Erie Crossing,Minneapolis,Minnesota,55446,12,12,2019
Ruthy,Crilley,2 Del Mar Alley,Salt Lake City,Utah,84105,15,4,1976
Corrie,Kaasman,95 Golden Leaf Center,Oakland,California,94627,1,8,1924
Marcy,Meineken,75994 Sutherland Road,Philadelphia,Pennsylvania,19196,25,11,1971
Daniele,Matusson,7995 Dapin Hill,Nashville,Tennessee,37228,20,11,2013
Maxwell,Lezemere,12 Mccormick Drive,Cincinnati,Ohio,45264,5,8,1994
Hubey,Okker,6578 Barby Plaza,Corpus Christi,Texas,78405,6,9,1916
Merill,Hawsby,247 Del Sol Avenue,Kansas City,Missouri,64125,24,3,1973
Oswald,Easlea,534 Crescent Oaks Pass,Manassas,Virginia,22111,16,4,2018
Shaina,Cranmer,3 Loeprich Street,Sacramento,California,95823,27,6,1954
Hortensia,Jann,5692 Mallard Parkway,West Palm Beach,Florida,33421,3,7,1926
Gaven,Golagley,5212 Troy Street,Colorado Springs,Colorado,80915,2,8,1913
Lynne,Bettington,687 Vahlen Hill,Cincinnati,Ohio,45264,24,5,1927
Judas,Guard,59528 Waywood Trail,Dallas,Texas,75260,7,4,2012
Cordie,Donegan,01 Pierstorff Road,Toledo,Ohio,43615,4,1,2004
Adelice,Clute,2580 Sunbrook Place,Anaheim,California,92805,19,8,1929
Chuck,Timperley,98755 Fieldstone Center,Tampa,Florida,33620,9,7,2015
Kare,Steckings,656 Charing Cross Place,Pinellas Park,Florida,34665,8,4,2006
Aubrey,Hare,610 Waywood Terrace,Sioux Falls,South Dakota,57193,25,2,1949
Helene,Wiltshaw,63 Cambridge Plaza,Birmingham,Alabama,35244,7,1,1965
Jo ann,Diggons,8517 Service Lane,Charlotte,North Carolina,28220,12,10,1908
Sharity,Boch,6481 Hagan Road,Lancaster,California,93584,7,8,2006
Maddy,Sandford,59636 Brentwood Point,Erie,Pennsylvania,16522,22,10,1922
Hunter,Bingle,515 Caliangt Pass,Philadelphia,Pennsylvania,19191,26,2,1931
Chrysa,Stanex,313 Anthes Plaza,Fort Worth,Texas,76178,6,5,1917
Elisa,Foster,85623 Waubesa Parkway,Fayetteville,North Carolina,28305,14,11,1914
Othelia,Goulbourn,7357 Mayfield Center,Norfolk,Virginia,23520,28,7,1920
Elke,Trusler,1 Maywood Parkway,Newark,Delaware,19725,28,4,1967
Catarina,O'Donoghue,81668 Maywood Way,Hialeah,Florida,33018,24,10,1997
Free,Da Costa,47 Parkside Alley,Chicago,Illinois,60657,1,5,1975
Karlie,Molen,8 Sommers Avenue,Kansas City,Missouri,64101,15,8,1994
Hilly,Aguirre,87 Upham Trail,Chicago,Illinois,60686,15,9,1962
Claiborne,Lode,38 Roth Crossing,Louisville,Kentucky,40293,17,3,2004
Rodolphe,Finley,3937 Burning Wood Street,New York City,New York,10175,15,5,1967
Katleen,Munns,5 Garrison Park,Ocala,Florida,34474,18,12,1926
Avivah,Krolik,53077 Grim Court,Memphis,Tennessee,38161,17,1,1924
Mitzi,Easterling,552 Mifflin Avenue,Bronx,New York,10459,2,9,1918
Ferdie,Plumley,94 Sunbrook Place,Philadelphia,Pennsylvania,19120,19,12,1949
Quinn,Ryder,0 Stang Circle,Waterbury,Connecticut,06726,5,2,1957
Culver,Luttgert,9934 Corry Crossing,Houston,Texas,77234,16,7,1996
Chrissie,Hekkert,88 Sloan Place,Fresno,California,93715,5,3,1969
Stanwood,Pingston,4 Anzinger Terrace,Memphis,Tennessee,38143,26,8,1975
Guillermo,Sharphouse,0 Pennsylvania Road,Panama City,Florida,32405,9,12,1909
Doralynne,Soper,37422 Kinsman Street,Bonita Springs,Florida,34135,17,10,1901
Eldredge,Benedicto,6322 Sherman Road,Tulsa,Oklahoma,74156,12,5,1927
Wayne,Matushenko,31 Boyd Alley,Dallas,Texas,75260,7,12,2002
Nollie,Karel,1 Sauthoff Crossing,Houston,Texas,77288,23,11,1975
Jamison,Bartolomeoni,45 Sunbrook Alley,North Little Rock,Arkansas,72199,26,4,2006
Corri,Landells,64717 Gina Center,Dallas,Texas,75342,13,8,1938
Jobi,Bligh,48 Everett Alley,Richmond,Virginia,23225,14,12,1946
Sayres,Bayle,33379 Di Loreto Drive,Knoxville,Tennessee,37924,6,2,1996
Adolf,Rankcom,5670 Forster Crossing,Orlando,Florida,32868,4,5,1975
Fiann,Hussy,15154 Dryden Place,Washington,District of Columbia,20397,18,9,1930
Marjie,Sandlin,4978 Dakota Drive,Pittsburgh,Pennsylvania,15274,4,11,1999
Yasmin,Gawthrop,54226 Texas Alley,Huntington,West Virginia,25775,5,2,1933
Urson,Kitt,9 Lillian Drive,Orlando,Florida,32859,18,8,1978
Jimmie,Joscelyne,49646 Sauthoff Park,Gastonia,North Carolina,28055,17,12,1999
Joey,Worters,59057 Grasskamp Pass,Washington,District of Columbia,20546,4,9,2013
Elayne,McKeefry,668 Weeping Birch Terrace,Roanoke,Virginia,24024,23,12,2019
Fredia,Speak,61 Sunnyside Plaza,New Orleans,Louisiana,70174,7,8,1926
Tessy,Ropkins,81 Express Plaza,Mobile,Alabama,36622,24,5,1961
Neel,Proske,46 Mesta Park,Chicago,Illinois,60674,4,5,1978
Jarvis,Hegg,8 Oakridge Trail,Miami,Florida,33164,28,8,2006
Ealasaid,Bedbury,53 Mariners Cove Road,Fresno,California,93762,14,7,1993
Michail,Sherwin,4 Susan Circle,Las Vegas,Nevada,89150,20,2,1970
Hardy,Gavrielly,28 Eliot Way,Phoenix,Arizona,85020,20,11,1950
Yard,Quirk,75070 Browning Junction,Pasadena,California,91117,12,9,1928
Normie,Keesman,75 Dunning Street,Long Beach,California,90805,15,4,1941
Winifred,Jagiello,03816 Bartillon Plaza,Washington,District of Columbia,20210,17,11,1990
Selene,Jacke,727 Dottie Plaza,Tallahassee,Florida,32309,10,10,1903
Val,Leathers,1712 Holy Cross Pass,Lincoln,Nebraska,68531,28,6,1987
Fields,Toor,36 Mesta Place,San Rafael,California,94913,26,12,1923
Darren,Huke,86586 Charing Cross Drive,Louisville,Kentucky,40210,28,1,2002
Dorthy,Guerola,99 Merrick Crossing,Indianapolis,Indiana,46216,23,7,1977
Candie,Dover,716 Ilene Way,Bonita Springs,Florida,34135,6,4,2016
Kaylil,Margarson,313 Green Ridge Pass,Littleton,Colorado,80126,6,10,1989
Zollie,Nobbs,187 Pepper Wood Drive,Washington,District of Columbia,20557,20,7,1984
Marty,Krysiak,8 Reinke Park,Charleston,West Virginia,25362,9,6,1924
Vassily,Bensusan,18892 Vermont Plaza,Rochester,New York,14683,15,5,1986
Mallissa,Pietrowski,060 Claremont Junction,Waterbury,Connecticut,06721,12,4,1948
Modesty,Shepland,847 Lindbergh Parkway,Toledo,Ohio,43615,11,3,1942
Krishna,Dogg,489 Emmet Trail,Portland,Oregon,97216,2,9,1928
Didi,Martinolli,9 Riverside Point,Chattanooga,Tennessee,37405,8,2,1902
Lark,Scoble,1 Grover Place,Colorado Springs,Colorado,80940,17,12,1989
Cissy,Vasyutkin,1729 Amoth Drive,Harrisburg,Pennsylvania,17105,11,8,1970
Robby,Audley,21815 Cherokee Road,Largo,Florida,34643,24,2,1949
Liliane,Scamadin,5 Granby Trail,New York City,New York,10060,21,2,1996
Elyse,Medlicott,0 Dottie Way,Miami,Florida,33283,20,4,2014
Niels,Bulbeck,99 American Way,New York City,New York,10131,23,5,1991
Catha,Hinckes,85 Maryland Lane,Kansas City,Missouri,64125,8,5,1989
Marybelle,Alleway,7762 Dawn Road,Lake Worth,Florida,33462,8,7,1961
Junina,Amor,393 Schlimgen Center,Norcross,Georgia,30092,12,5,1979
Gilli,Tripony,6011 Summit Center,Chicago,Illinois,60691,12,7,1968
Shanta,Maestrini,63227 East Trail,Lancaster,California,93584,10,10,1936
Cal,Boorn,1514 Erie Avenue,South Bend,Indiana,46620,21,4,1926
Hansiain,Capun,2 Boyd Way,Akron,Ohio,44310,8,1,1992
Romy,Turland,5 Schlimgen Place,New York City,New York,10160,23,5,1963
Garwood,Bosworth,730 Raven Way,Portland,Oregon,97296,8,11,1939
Early,Beatty,75778 Merchant Trail,Tallahassee,Florida,32304,10,9,1921
Barbra,Grzeskowski,65 Golden Leaf Circle,Jacksonville,Florida,32277,28,9,1968
Adler,Eddowis,5940 Logan Street,Los Angeles,California,90101,17,6,1902
Delia,Colecrough,7 Forest Drive,Dallas,Texas,75367,19,4,1914
Valeda,Langtry,6832 Crest Line Road,Atlanta,Georgia,30316,26,7,1933
Bibi,Park,72241 Mockingbird Hill,San Antonio,Texas,78296,14,1,2007
Taite,Fielden,006 Esker Plaza,Fargo,North Dakota,58106,26,7,1916
Averil,Pentlow,447 Hoard Plaza,Syracuse,New York,13210,3,9,2002
Weider,Abarough,89 Hooker Place,Washington,District of Columbia,20220,23,3,1900
Audry,McMarquis,549 Hudson Street,Lincoln,Nebraska,68510,17,8,1901
Shirlee,Ricards,2 Laurel Place,El Paso,Texas,79916,9,8,1923
Ransell,Haffenden,75982 Logan Plaza,Gilbert,Arizona,85297,3,10,1948
Cass,Westmarland,117 Swallow Pass,Honolulu,Hawaii,96820,17,9,1939
Denni,Stillmann,87394 Bashford Parkway,San Bernardino,California,92405,28,11,1942
Marlena,Lemoir,86 Hollow Ridge Circle,Waltham,Massachusetts,02453,16,12,1998
Lori,Killimister,1 Pepper Wood Crossing,Denver,Colorado,80249,4,5,1998
Angie,Leavey,8913 Weeping Birch Hill,Lynn,Massachusetts,01905,5,11,1978
Brew,Hrinchenko,9 Express Place,Delray Beach,Florida,33448,21,12,1935
Kiri,Presdie,7 International Center,Winston Salem,North Carolina,27110,22,9,1992
Denver,Hodgon,89980 Ridgeway Hill,Lubbock,Texas,79415,10,9,1980
Renee,Burgisi,69831 Bartillon Trail,Boise,Idaho,83727,24,12,1982
Bianka,Reskelly,7 Maple Wood Court,Apache Junction,Arizona,85219,28,1,1979
Annice,Sanbroke,24 Village Green Hill,Springfield,Massachusetts,01114,18,1,1918
Herbie,Selman,02587 Pine View Lane,Santa Barbara,California,93111,8,2,1999
Mozes,Hick,38898 Milwaukee Alley,Cincinnati,Ohio,45238,19,10,1903
Gayel,Radsdale,3 Schmedeman Junction,Crawfordsville,Indiana,47937,6,9,1998
Hannah,Dax,26142 Anhalt Road,Bridgeport,Connecticut,06606,26,10,1935
Clywd,Duncombe,86018 Moulton Street,Houston,Texas,77299,17,12,1981
Livia,Wittier,909 Kipling Place,Naples,Florida,34114,21,6,1995
Daren,Featenby,9798 Esker Trail,Paterson,New Jersey,07544,17,4,1910
Aliza,Pulteneye,00 Becker Park,Fresno,California,93726,19,3,1918
Hortense,Cawdron,91278 Novick Plaza,Jacksonville,Florida,32204,14,7,2007
Garrot,Swaisland,67733 Comanche Avenue,Omaha,Nebraska,68117,21,3,1961
Emera,Benger,417 6th Junction,Fort Wayne,Indiana,46857,15,6,1901
Hamid,Handford,71480 Summit Center,Fort Lauderdale,Florida,33320,26,12,2012
Marcie,Edler,67 Garrison Road,Denver,Colorado,80243,7,7,1928
Walliw,Elderkin,4 Comanche Terrace,San Luis Obispo,California,93407,13,8,1943
Libby,Kobpa,19917 Texas Trail,Roanoke,Virginia,24004,22,2,1996
Eolanda,Luttger,6725 Old Gate Point,Lake Worth,Florida,33467,6,6,1982
Pren,Uzzell,489 Nova Plaza,Augusta,Georgia,30905,10,7,1958
Gay,Dwire,42527 Vidon Avenue,Tucson,Arizona,85720,5,10,2014
